x,y,height,water,heat,vegetation,fauna,alignment
0,01,1,1,1,1,1
1,01,1,1,1,1,1
2,01,1,1,1,1,1
3,01,1,1,1,1,1
4,01,1,1,1,1,1
5,01,1,1,1,1,1
6,01,1,1,1,1,1
7,01,1,1,1,1,1
8,01,1,1,1,1,1
9,01,1,1,1,1,1
0,11,1,1,1,1,1
1,11,1,1,1,1,1
2,11,1,1,1,1,1
3,11,1,1,1,1,1
4,11,1,1,1,1,1
5,11,1,1,1,1,1
6,11,1,1,1,1,1
7,11,1,1,1,1,1
8,11,1,1,1,1,1
9,11,1,1,1,1,1
0,21,1,1,1,1,1
1,21,1,1,1,1,1
2,21,1,1,1,1,1
3,21,1,1,1,1,1
4,21,1,1,1,1,1
5,21,1,1,1,1,1
6,21,1,1,1,1,1
7,21,1,1,1,1,1
8,21,1,1,1,1,1
9,21,1,1,1,1,1
0,31,1,1,1,1,1
1,31,1,1,1,1,1
2,31,1,1,1,1,1
3,31,1,1,1,1,1
4,31,1,1,1,1,1
5,31,1,1,1,1,1
6,31,1,1,1,1,1
7,31,1,1,1,1,1
8,31,1,1,1,1,1
9,31,1,1,1,1,1
0,41,1,1,1,1,1
1,41,1,1,1,1,1
2,41,1,1,1,1,1
3,41,1,1,1,1,1
4,41,1,1,1,1,1
5,41,1,1,1,1,1
6,41,1,1,1,1,1
7,41,1,1,1,1,1
8,41,1,1,1,1,1
9,41,1,1,1,1,1
0,51,1,1,1,1,1
1,51,1,1,1,1,1
2,51,1,1,1,1,1
3,51,1,1,1,1,1
4,51,1,1,1,1,1
5,51,1,1,1,1,1
6,51,1,1,1,1,1
7,51,1,1,1,1,1
8,51,1,1,1,1,1
9,51,1,1,1,1,1
0,61,1,1,1,1,1
1,61,1,1,1,1,1
2,61,1,1,1,1,1
3,61,1,1,1,1,1
4,61,1,1,1,1,1
5,61,1,1,1,1,1
6,61,1,1,1,1,1
7,61,1,1,1,1,1
8,61,1,1,1,1,1
9,61,1,1,1,1,1
0,71,1,1,1,1,1
1,71,1,1,1,1,1
2,71,1,1,1,1,1
3,71,1,1,1,1,1
4,71,1,1,1,1,1
5,71,1,1,1,1,1
6,71,1,1,1,1,1
7,71,1,1,1,1,1
8,71,1,1,1,1,1
9,71,1,1,1,1,1
0,81,1,1,1,1,1
1,81,1,1,1,1,1
2,81,1,1,1,1,1
3,81,1,1,1,1,1
4,81,1,1,1,1,1
5,81,1,1,1,1,1
6,81,1,1,1,1,1
7,81,1,1,1,1,1
8,81,1,1,1,1,1
9,81,1,1,1,1,1
0,91,1,1,1,1,1
1,91,1,1,1,1,1
2,91,1,1,1,1,1
3,91,1,1,1,1,1
4,91,1,1,1,1,1
5,91,1,1,1,1,1
6,91,1,1,1,1,1
7,91,1,1,1,1,1
8,91,1,1,1,1,1
9,91,1,1,1,1,1
